HOLE_ID,X_MGA,Y_MGA,Z_MGA,DEPTH,DATASET,PRE_COLLAR,RC_DEPTH,GRID_NAME,START_DATE,FINISH_DAT,PROSPECT,LOCATION,COLLAR_COM,HOLE_TYPE,HOLE_SIZE,HOLE_PURPO,TENMENT_ID,NATIVE_TIT,LOCATION_S,CONTRACTOR,COMPANY,PROGRAM_NA,GEOLOGIST,LOGGED_BY,DRILLING_S,EQUIPMENT_,GROUTED,MINING_LEV,PLANNED_DE,PLANNED_AZ,PLANNED_DI,TENEMENT_I
C2034NEI32,371427.0,7750416.0,146.9,98.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2035ND39,371452.0,7750425.0,219.67,59.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2035NED25,371439.0,7750397.0,219.0,69.7,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2035NEI14,371439.0,7750397.0,222.0,71.7,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2035NI10,371452.0,7750425.0,220.96,32.200001,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2035NI30,371435.0,7750390.0,148.29,100.2,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2036NI30,371453.0,7750402.0,223.13,65.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2037ND24,371457.0,7750391.0,220.47,71.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2037ND30,371457.0,7750390.0,220.6,60.6,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2037NH00,371457.0,7750390.0,221.32,60.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2037NI15,371453.0,7750381.0,150.15,81.80000305175781,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2037NI23,371457.0,7750390.0,222.21,69.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2037NI32,371452.0,7750382.0,150.84,92.2,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2038ND25,371467.0,7750387.0,220.3,60.400002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2039ND01,371470.0,7750373.0,152.47,80.80000305175781,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2039ND20,371470.0,7750372.0,151.8,74.400002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2039ND25,371476.0,7750385.0,218.78,70.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2039NED20,371477.0,7750385.0,219.05,60.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2039NEI01,371471.0,7750372.0,153.63,65.7,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2039NEI28,371471.0,7750373.0,155.22,81.30000305175781,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2039NH00,371476.0,7750385.0,219.38,50.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2039NI20,371471.0,7750373.0,153.46,70.2,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2039NI25,371476.0,7750385.0,220.32,54.3,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
