Drillhole ID,Depth,Dip,Azimuth
C26,8.0,0.0,27.31485
C27,0.0,0.0,35.81485
C27,3.0,0.0,35.81485
C28,0.0,0.0,25.81485
C28,7.0,0.0,25.81485
C29,0.0,0.0,25.81485
C29,4.0,0.0,25.81485
C30,0.0,0.0,23.31485
C30,4.5,0.0,23.31485
C31,0.0,0.0,27.81485
C31,3.0,0.0,27.81485
C32,0.0,0.0,29.81485
C32,4.0,0.0,29.81485
C33,0.0,0.0,28.81485
C33,6.0,0.0,28.81485
C34,0.0,0.0,34.31485
C34,6.0,0.0,34.31485
C37,0.0,0.0,33.31485
C37,6.0,0.0,33.31485
C38,0.0,0.0,56.81485
C38,9.0,0.0,56.81485
C2034NEI32,0.0,-33.5,38.81485
C2034NEI32,6.0,-33.5,38.81485
C2034NEI32,30.0,-33.200001,39.81485
C2034NEI32,60.0,-30.799999,40.81485
C2034NEI32,98.0,-30.5,40.31485
C2035ND39,0.0,39.799999,21.81485
C2035ND39,5.0,40.0,21.81485
C2035ND39,30.0,40.099998,21.81485
C2035ND39,59.049999,40.099998,21.81485
C2035NED25,0.0,25.9,24.31485
C2035NED25,5.0,25.9,24.31485
C2035NED25,30.0,26.700001,24.31485
C2035NED25,65.0,26.0,24.31485
C2035NED25,69.699997,26.0,24.31485
C2035NEI14,0.0,-14.3,24.81485
C2035NEI14,5.0,-14.3,24.81485
C2035NEI14,35.0,-14.2,26.81485
C2035NEI14,70.0,-13.7,25.31485
C2035NEI14,71.699997,-13.7,25.31485
C2035NI10,0.0,-10.0,22.81485
C2035NI10,5.0,-10.0,21.81485
C2035NI10,32.200001,-10.0,21.81485
C2035NI30,0.0,-30.0,22.31485
C2035NI30,5.0,-29.0,23.31485
C2035NI30,100.199997,-28.200001,23.81485
C2036NI30,0.0,-30.0,11.81485
C2036NI30,5.0,-29.0,11.81485
C2036NI30,65.0,-29.200001,6.81485
C2037ND24,0.0,24.0,25.81485
C2037ND24,4.0,22.0,24.31485
C2037ND24,30.0,20.4,22.31485
C2037ND24,71.5,20.4,22.31485
C2037ND30,0.0,32.400002,23.31485
C2037ND30,5.0,32.0,23.31485
C2037ND30,60.599998,31.1,23.31485
C2037NH00,0.0,0.0,25.81485
C2037NH00,4.0,-0.2,23.31485
C2037NH00,60.0,-0.8,17.81485
C2037NI15,0.0,-14.5,24.81485
C2037NI15,5.0,-14.1,24.81485
C2037NI15,40.0,-14.1,24.81485
C2037NI15,81.800003,-14.1,24.81485
C2037NI23,0.0,-23.0,25.81485
C2037NI23,4.0,-23.0,23.81485
C2037NI23,30.0,-23.0,21.81485
C2037NI23,69.099998,-23.0,21.81485
C2037NI32,0.0,-32.700001,23.81485
C2037NI32,5.0,-32.099998,24.81485
C2037NI32,45.0,-31.0,23.81485
C2037NI32,92.139999,-31.0,23.81485
C2038ND25,0.0,25.9,22.31485
C2038ND25,5.0,25.700001,22.31485
C2038ND25,60.400002,24.4,22.31485
C2039ND01,0.0,1.0,23.614849
C2039ND01,5.0,1.2,24.41485
C2039ND01,40.0,3.0,25.31485
C2039ND01,80.800003,3.0,25.31485
C2039ND20,0.0,19.0,23.31485
C2039ND20,5.0,18.5,23.31485
C2039ND20,35.0,16.9,23.81485
C2039ND20,74.400002,16.9,23.81485
C2039ND25,0.0,24.200001,23.31485
C2039ND25,5.0,23.0,23.81485
C2039ND25,35.0,22.200001,23.81485
C2039ND25,70.5,22.200001,23.81485
C2039NED20,0.0,20.299999,51.81485
C2039NED20,5.0,20.299999,51.81485
C2039NED20,60.0,20.299999,51.81485
C2039NEI01,0.0,-0.5,34.81485
C2039NEI01,5.0,-1.0,36.81485
C2039NEI01,65.699997,-1.5,36.81485
C2039NEI28,0.0,-28.0,39.31485
C2039NEI28,6.0,-28.0,38.31485
C2039NEI28,30.0,-27.6,39.31485
C2039NEI28,81.300003,-27.200001,39.81485
C2039NH00,0.0,-0.2,23.614849
C2039NH00,4.0,-0.1,23.614849
C2039NH00,50.0,-0.1,23.91485
C2039NI20,0.0,-18.5,26.81485
C2039NI20,5.0,-18.0,21.81485
C2039NI20,70.099998,-17.1,21.31485
C2039NI25,0.0,-25.0,23.81485
C2039NI25,4.0,-25.0,23.81485
C2039NI25,25.0,-25.0,23.81485
C2039NI25,54.299999,-25.0,23.81485
C2039NI33,0.0,-32.0,24.31485
C2039NI33,5.0,-31.0,25.31485
C2039NI33,35.0,-31.0,25.31485
C2039NI33,73.300003,-31.0,25.31485
C2039NI45,0.0,-45.299999,23.31485
C2039NI45,5.0,-45.200001,22.81485
C2039NI45,50.0,-44.299999,24.31485
C2040SED50,0.0,50.0,192.81485
C2040SED50,6.0,50.0,192.81485
C2040SED50,30.0,49.5,192.81485
C2040SED50,60.0,49.0,192.81485
C2040SED50,90.0,48.0,194.81485
C2040SED50,120.0,46.0,195.81485
C2040SED50,165.0,43.0,196.81485
C2040SED50,167.5,43.0,196.81485
C2041ND08,0.0,7.4,23.31485
C2041ND08,5.0,7.0,23.31485
C2041ND08,24.0,6.9,23.81485
C2041ND08,48.599998,6.9,23.81485
C2041ND31,0.0,30.200001,21.81485
C2041ND31,5.0,29.0,21.81485
C2041ND31,25.0,28.0,21.81485
C2041ND31,58.400002,28.0,21.81485
C2041ND36,0.0,35.599998,22.81485
C2041ND36,5.0,35.5,25.014851
C2041ND36,30.0,35.299999,24.81485
C2041ND36,53.400002,35.299999,24.81485
C2041ND68,0.0,68.0,29.81485
C2041ND68,4.0,67.900002,30.614849
C2041ND68,29.5,67.900002,30.614849
C2041NH00,0.0,-1.2,24.81485
C2041NH00,5.0,-1.2,24.31485
C2041NH00,30.0,-1.3,24.614849
C2041NH00,50.299999,-1.3,24.614849
C2041NI18,0.0,-17.1,23.81485
C2041NI18,5.0,-16.9,24.81485
C2041NI18,25.0,-17.0,24.81485
C2041NI18,50.599998,-17.0,24.81485
C2041NI32,0.0,-30.799999,26.81485
C2041NI32,5.0,-32.0,26.31485
C2041NI32,35.0,-32.200001,26.31485
C2041NI32,60.5,-32.200001,26.31485
C2041SI05,0.0,-5.6,203.81485
C2041SI05,5.0,-5.1,203.81485
C2041SI05,30.0,-5.0,204.81485
C2041SI05,60.0,-3.9,204.81485
C2041SI05,90.5,-3.9,204.81485
C2042NI40,0.0,-40.0,25.81485
C2042NI40,42.150002,-40.0,25.81485
C2042NI42,0.0,-42.0,25.81485
C2042NI42,33.700001,-42.0,25.81485
C2043ND05,0.0,5.8,27.81485
C2043ND05,5.0,5.0,24.31485
C2043ND05,28.0,4.0,24.31485
C2043ND05,56.599998,4.0,24.31485
C2043ND08,0.0,7.2,25.31485
C2043ND08,5.0,6.8,26.81485
C2043ND08,74.5,6.6,25.81485
C2043ND31,0.0,27.200001,27.31485
C2043ND31,5.0,27.200001,27.31485
C2043ND31,50.0,27.0,27.31485
C2043ND38,0.0,39.200001,17.81485
C2043ND38,40.5,39.200001,18.31485
C2043NH00,0.0,-1.0,25.81485
C2043NH00,5.0,-0.8,25.81485
C2043NH00,44.599998,-0.8,25.81485
C2043NI19,0.0,-18.799999,22.31485
C2043NI19,5.0,-18.0,22.014851
C2043NI19,73.099998,-17.0,22.81485
C2043NI30,0.0,-30.0,24.81485
C2043NI30,5.0,-30.0,24.81485
C2043NI30,30.0,-30.0,24.81485
C2043NI30,89.400002,-30.0,24.81485
C2043SD43,0.0,43.0,209.81485
C2043SD43,6.0,43.0,209.81485
C2043SD43,30.0,42.0,208.81485
C2043SD43,60.0,39.0,209.81485
C2043SD43,97.0,38.0,210.31485
C2043SI13,0.0,-13.1,205.81485
C2043SI13,5.0,-12.9,206.31485
C2043SI13,30.0,-12.2,206.81485
C2043SI13,90.199997,-10.9,206.31485
C2045ND05,0.0,5.0,24.81485
C2045ND05,5.0,4.3,25.81485
C2045ND05,43.0,3.9,26.81485
C2045ND30,0.0,29.799999,25.81485
C2045ND30,5.0,26.200001,24.81485
C2045ND30,34.5,26.200001,24.81485
C2045ND32,0.0,32.0,26.81485
C2045ND32,5.0,31.200001,27.81485
C2045ND32,50.700001,30.1,27.31485
C2045NI19,0.0,-17.0,25.81485
C2045NI19,5.0,-17.6,26.81485
C2045NI19,30.0,-17.0,25.81485
C2045NI19,60.0,-17.0,25.81485
C2045NI19,77.599998,-17.0,25.81485
C2045NI48,0.0,-46.0,23.81485
C2045NI48,5.0,-45.299999,23.81485
C2045NI48,50.599998,-43.200001,23.81485
C2045SEH00,0.0,-0.5,129.81485
C2045SEH00,37.799999,-0.5,129.81485
C2047ND11,0.0,11.1,24.81485
C2047ND11,5.0,11.0,24.81485
C2047ND11,56.099998,9.2,23.81485
C2047ND27,0.0,28.0,23.81485
C2047ND27,5.0,27.0,23.81485
C2047ND27,50.599998,25.799999,22.81485
C2047ND28,0.0,28.299999,25.514851
C2047ND28,5.0,27.700001,25.514851
C2047ND28,65.300003,25.200001,25.614849
C2047NH00,0.0,-1.0,24.81485
C2047NH00,10.0,-1.0,24.81485
C2047NH00,42.0,-1.0,24.81485
C2047NI09,0.0,-9.3,23.81485
C2047NI09,47.75,-10.1,23.81485
C2047NI14,0.0,-15.2,21.81485
C2047NI14,42.0,-15.5,21.81485
C2047NI20,0.0,-20.0,22.81485
C2047NI20,5.0,-20.5,21.81485
C2047NI20,52.700001,-20.799999,21.31485
C2047NI31,0.0,-28.5,25.81485
C2047NI31,5.0,-26.4,26.81485
C2047NI31,25.0,-27.0,25.81485
C2047NI31,56.099998,-27.0,25.81485
C2047SD46,0.0,46.5,205.81485
C2047SD46,6.0,46.5,205.81485
C2047SD46,30.0,45.0,206.81485
C2047SD46,60.0,42.0,207.81485
C2047SD46,90.0,40.0,207.81485
C2047SD46,124.0,39.0,208.81485
C2047SI47,0.0,-48.0,30.81485
C2047SI47,24.0,-48.0,30.81485
C2048NEI07,0.0,-7.9,52.81485
C2048NEI07,5.0,-8.0,52.31485
C2048NEI07,54.400002,-7.9,52.81485
C2048SI55,0.0,-54.0,209.81485
C2048SI55,6.0,-54.0,209.81485
C2048SI55,30.0,-54.0,208.81485
C2048SI55,65.0,-53.0,208.81485
C2048SI55,87.0,-52.5,209.81485
C2048SI55,88.099998,-52.5,209.81485
C2049ND10,0.0,9.1,22.81485
C2049ND10,44.200001,9.2,23.81485
C2049ND17,0.0,17.0,23.81485
C2049ND17,5.0,16.0,23.31485
C2049ND17,30.0,15.5,20.81485
C2049ND17,60.400002,15.5,20.81485
C2049ND37,0.0,36.299999,4.81485
C2049ND37,5.0,35.799999,5.31485
C2049ND37,60.5,35.5,5.81485
C2049NI02,0.0,-1.0,23.81485
C2049NI02,5.0,-1.0,23.81485
C2049NI02,25.0,-0.8,23.81485
C2049NI02,64.0,-0.8,23.81485
C2049NI24,0.0,-26.0,22.81485
C2049NI24,5.0,-24.0,26.81485
C2049NI24,71.400002,-23.0,25.81485
C2049NI25,0.0,-25.700001,4.81485
C2049NI25,44.700001,-25.1,3.81485
C2051ND18,0.0,18.6,19.81485
C2051ND18,46.299999,17.9,20.614849
C2051ND41,0.0,42.0,17.81485
C2051ND41,5.0,41.900002,18.81485
C2051ND41,55.150002,40.0,16.81485
C2051NI21,0.0,-21.299999,22.31485
C2051NI21,46.950001,-20.0,32.81485
C2053ND10,0.0,10.8,23.514851
C2053ND10,42.799999,9.0,22.614849
C2053ND40,0.0,40.599998,22.81485
C2053ND40,5.0,38.0,24.81485
C2053ND40,54.799999,34.599998,25.91485
C2053NI35,0.0,-35.0,25.81485
C2053NI35,23.4,-35.0,25.81485
C2055ND39,0.0,39.0,25.81485
C2055ND39,5.0,38.200001,25.31485
C2055ND39,30.0,37.5,22.81485
C2055ND39,60.0,35.200001,23.31485
C2055ND39,95.300003,34.5,22.81485
C2055ND65,0.0,65.0,25.81485
C2055ND65,5.0,65.0,23.31485
C2055ND65,30.0,65.0,22.31485
C2055ND65,51.0,65.0,22.31485
C2055NED33,0.0,33.0,49.81485
C2055NED33,59.400002,33.0,49.81485
C2055NED49,0.0,49.0,49.81485
C2055NED49,5.0,48.0,48.31485
C2055NED49,30.0,48.0,47.31485
C2055NED49,71.599998,47.5,46.81485
C2055NI03,0.0,-3.0,25.81485
C2055NI03,5.0,-2.0,23.81485
C2055NI03,30.0,-2.0,21.81485
C2055NI03,60.0,-1.3,31.81485
C2055NI03,74.099998,-1.0,20.81485
C2055NWD18,0.0,18.0,12.81485
C2055NWD18,5.0,18.0,10.81485
C2055NWD18,30.0,18.0,11.31485
C2055NWD18,65.699997,14.5,15.81485
C2055NWD35,0.0,35.0,12.81485
C2055NWD35,5.0,34.0,10.81485
C2055NWD35,30.0,33.0,10.81485
C2055NWD35,60.0,33.0,10.81485
C2055NWD35,86.0,32.5,10.81485
C2055NWI09,0.0,-9.0,12.81485
C2055NWI09,5.0,-8.0,10.81485
C2055NWI09,30.0,-7.7,9.31485
C2055NWI09,65.099998,-7.0,11.31485
C2055NWI23,0.0,-22.299999,5.31485
C2055NWI23,5.0,-22.200001,5.81485
C2055NWI23,35.0,-22.1,5.31485
C2055NWI23,84.099998,-21.9,6.81485
C2059ND04,0.0,4.0,26.81485
C2059ND04,6.0,3.8,26.81485
C2059ND04,51.900002,3.25,27.31485
C2059ND20,0.0,49.0,24.81485
C2059ND20,6.0,49.0,24.81485
C2059ND20,30.0,49.0,24.81485
C2059ND20,56.0,18.700001,28.81485
C2059ND20,60.0,48.0,24.81485
C2059ND20,100.0,45.5,24.81485
C2061ND10,0.0,10.0,26.31485
C2061ND10,6.0,8.6,26.81485
C2061ND10,52.0,8.0,26.81485
C2061NI54,0.0,-54.0,26.31485
C2061NI54,10.0,-54.5,26.31485
C2061NI54,52.0,-52.5,26.31485
C2063ND04,0.0,4.7,24.81485
C2063ND04,42.0,3.8,24.81485
C2063ND30,0.0,30.1,23.81485
C2063ND30,6.0,29.200001,24.81485
C2063ND30,53.400002,28.299999,24.31485
C2063ND62,0.0,63.0,21.81485
C2063ND62,6.0,63.0,21.81485
C2063ND62,20.0,63.0,21.81485
C2063ND62,60.0,62.0,21.81485
C2063ND62,104.0,61.0,22.31485
C2063SD42,0.0,42.0,200.81485
C2063SD42,10.0,41.0,200.81485
C2063SD42,40.0,39.5,200.81485
C2063SD42,70.0,37.5,200.81485
C2063SD42,100.0,37.0,200.81485
C2063SD47,0.0,48.0,203.31485
C2063SD47,125.25,48.0,203.31485
C2067ND15,0.0,14.6,23.81485
C2067ND15,5.0,14.0,22.514851
C2067ND15,66.0,14.0,22.514851
C2067ND58,0.0,58.200001,26.31485
C2067ND58,5.0,57.700001,26.31485
C2067ND58,30.0,57.5,26.81485
C2067ND58,60.0,57.099998,26.81485
C2067ND58,80.5,57.099998,26.81485
C2067ND69,0.0,69.0,26.81485
C2067ND69,121.5,69.0,26.81485
C2067NED25,0.0,24.5,46.81485
C2067NED25,5.0,24.0,46.81485
C2067NED25,30.0,24.0,46.81485
C2067NED25,74.199997,24.0,46.81485
C2067NWD39,0.0,37.5,1.81485
C2067NWD39,30.0,37.0,1.81485
C2067NWD39,52.0,37.0,1.81485
C2067NWD39,54.200001,37.0,1.81485
C2067NWD47,0.0,46.0,330.31485
C2067NWD47,5.0,45.5,330.81485
C2067NWD47,30.0,44.5,329.81485
C2067NWD47,60.0,44.5,329.81485
C2069ND40,0.0,38.5,30.714849
C2069ND40,35.0,38.0,28.31485
C2069ND40,69.900002,37.5,28.31485
C2070NWD04,0.0,4.0,328.81485
C2070NWD04,10.0,4.0,328.81485
C2070NWD04,40.0,4.0,335.31485
C2070NWD04,72.0,3.5,329.81485
C2071ND25,0.0,24.9,25.81485
C2071ND25,30.0,24.9,23.81485
C2071ND25,58.900002,22.9,20.81485
C2071ND43,0.0,36.900002,25.81485
C2071ND43,35.0,39.900002,25.81485
C2071ND43,70.0,42.799999,25.81485
C2071ND55,0.0,51.799999,32.514851
C2071ND55,45.0,53.099998,28.81485
C2071ND55,99.099998,51.799999,28.31485
C2071ND73,0.0,72.0,21.81485
C2071ND73,6.0,72.0,21.81485
C2071ND73,30.0,70.0,21.81485
